RegionName,StateName,date,price
Utah,UT,X2019.03.31,342014
Utah,UT,X2020.03.31,360260
Utah,UT,X2021.03.31,417724
Nevada,NV,X2019.03.31,306301
Nevada,NV,X2020.03.31,312512
Nevada,NV,X2021.03.31,342888
New Mexico,NM,X2019.03.31,197601
New Mexico,NM,X2020.03.31,208726
New Mexico,NM,X2021.03.31,235237
West Virginia,WV,X2019.03.31,106185
West Virginia,WV,X2020.03.31,108847
West Virginia,WV,X2021.03.31,115018
Nebraska,NE,X2019.03.31,174727
Nebraska,NE,X2020.03.31,183179
Nebraska,NE,X2021.03.31,199104
Idaho,ID,X2019.03.31,275076
Idaho,ID,X2020.03.31,300648
Idaho,ID,X2021.03.31,369495
Hawaii,HI,X2019.03.31,654961
Hawaii,HI,X2020.03.31,655865
Hawaii,HI,X2021.03.31,698029
Maine,ME,X2019.03.31,235134
Maine,ME,X2020.03.31,251567
Maine,ME,X2021.03.31,286106
New Hampshire,NH,X2019.03.31,287507
New Hampshire,NH,X2020.03.31,301923
New Hampshire,NH,X2021.03.31,343300
Rhode Island,RI,X2019.03.31,298505
Rhode Island,RI,X2020.03.31,310182
Rhode Island,RI,X2021.03.31,353754
Montana,MT,X2019.03.31,282682
Montana,MT,X2020.03.31,297178
Montana,MT,X2021.03.31,334168
Delaware,DE,X2019.03.31,260934
Delaware,DE,X2020.03.31,261465
Delaware,DE,X2021.03.31,290932
South Dakota,SD,X2019.03.31,210973
South Dakota,SD,X2020.03.31,218918
South Dakota,SD,X2021.03.31,234523
Alaska,AK,X2019.03.31,292745
Alaska,AK,X2020.03.31,285405
Alaska,AK,X2021.03.31,289971
North Dakota,ND,X2019.03.31,229833
North Dakota,ND,X2020.03.31,233996
North Dakota,ND,X2021.03.31,242661
Vermont,VT,X2019.03.31,254232
Vermont,VT,X2020.03.31,262146
Vermont,VT,X2021.03.31,283273
District of Columbia,DC,X2019.03.31,635572
District of Columbia,DC,X2020.03.31,656389
District of Columbia,DC,X2021.03.31,678707
Wyoming,WY,X2019.03.31,242582
Wyoming,WY,X2020.03.31,256183
Wyoming,WY,X2021.03.31,266224
United States,,X2019.03.31,240596
United States,,X2020.03.31,250179
United States,,X2021.03.31,276717
